Teff,logg,FeH,A,lambda0,b,n,W_lambda
6250,4.0,-0.5,0.8765000481739904,4862.695575357958,1.6826973139482746,0.5000000026814676,11.799074033842302
6250,4.5,0.5,0.7340367548762782,4862.718007673832,3.1799844093338203,0.5000000000394901,18.67380348687963
6250,4.5,-0.0,0.7998626363056784,4862.701293841735,2.2747197105684296,0.5000000000003115,14.555706436388226
6250,4.5,-0.5,0.8823833219254286,4862.6904581164745,1.5503605587516442,0.5000036686844379,10.943869902652116
6250,5.0,0.5,0.7191079661060001,4862.724008104598,3.2024172754727855,0.5000000000000002,18.4230701887036
6250,5.0,-0.0,0.7842993440876814,4862.706629351614,2.2833321410674654,0.5000006627994874,14.326473163920676
6250,5.0,-0.5,0.8745367098572323,4862.67974524653,1.477996294437084,0.5000000011843874,10.34049606244528
6500,3.5,0.5,0.8363859960668489,4862.701748368671,2.895134098768876,0.5213130733927505,17.252318527603286
6500,3.5,-0.0,0.8738705238920667,4862.6958955890295,2.455224846517962,0.5222820579134606,15.210009740106576
6500,3.5,-0.5,0.8796344427863321,4862.690388078718,2.1975831460918265,0.5395245806439869,12.5734799121159
6500,4.0,0.5,0.8295034398873289,4862.707593879285,2.7820923660952634,0.5127710648762185,17.201952722247828
6500,4.0,-0.0,0.8717981003280499,4862.6964625304745,2.304339617024499,0.5135386683064559,14.912774523604606
6500,4.0,-0.5,0.873452096728189,4862.695513193701,2.0862188614062904,0.5332838570640077,12.218944695936374
6500,4.5,0.5,0.8189486031058496,4862.713470076896,2.771846251898473,0.5000000000000001,18.159996928131502
6500,4.5,-0.0,0.8769302263097969,4862.701832900314,2.119401365958583,0.5000000061578916,14.868536434856908
6500,4.5,-0.5,0.9004902267782191,4862.690595784555,1.7563479106309106,0.5170229482519185,11.524572184934156
6500,5.0,0.5,0.799654500039506,4862.719347246026,2.8213227556112095,0.5000000000000001,18.048667500706895
6500,5.0,-0.0,0.8622419599787106,4862.712968672759,2.1099050619987603,0.5000001068206522,14.553980560397909
6500,5.0,-0.5,0.8873076028830754,4862.690585112546,1.7209185162580853,0.5205122290710268,10.924855543892294
6750,3.5,0.5,0.7469480417954016,4862.706049176206,4.297765234964767,0.6587253319659913,13.12356692875687
6750,3.5,-0.0,0.7699556039534321,4862.6999822769,3.8048989099681108,0.6574032532139336,12.026662549179395
6750,3.5,-0.5,0.7783507165690055,4862.695859446807,3.479004960877416,0.659073306094432,11.057884800422915
6750,4.0,0.5,0.7376224331811201,4862.711993716581,4.162741242487714,0.6509877191573397,12.867007461712715
6750,4.0,-0.0,0.7675523418457498,4862.699969706234,3.599418733752235,0.6422856740956421,11.912652861323195
6750,4.0,-0.5,0.7721293665825957,4862.693984348752,3.3028252224360664,0.6483751686931885,10.7777348927035
6750,4.5,0.5,0.7467995450903926,4862.712015096168,3.914691887945537,0.6242519725627524,13.409711522626745
6750,4.5,-0.0,0.7832361192965572,4862.7012208784445,3.3069723334351355,0.6112638648600032,12.451013355534831
6750,4.5,-0.5,0.7850731740934834,4862.6946821160145,2.944272283694596,0.6296745798917301,10.403128388975267
6750,5.0,0.5,0.7421273415450292,4862.717969004297,3.824568063539437,0.6138224417308998,13.516344111026154
6750,5.0,-0.0,0.7796893135800074,4862.702438503333,3.1894018526423973,0.6036106005775872,12.301071993173153
6750,5.0,-0.5,0.779526704798977,4862.694948124133,2.818702195435691,0.6278418756958757,9.952335067198371
7000,3.5,0.5,0.7187652217441122,4862.717991932827,5.13191769939885,0.7443553996437492,11.874682403492494
7000,3.5,-0.0,0.7346673425070129,4862.706003546777,4.656730500768689,0.7438593503910924,11.027047440759059
7000,3.5,-0.5,0.7387856458349786,4862.705994209249,4.371278425857715,0.7433892468347756,10.421237045202476
7000,4.0,0.5,0.7104478497040065,4862.717977088447,4.958131423625817,0.7342980981855152,11.628764380130571
7000,4.0,-0.0,0.728306415458211,4862.706003197373,4.435248989287045,0.73133986665182,10.744508968822588
7000,4.0,-0.5,0.730481606557118,4862.7000170273495,4.174869631677579,0.7309739973874346,10.15343581725158
7000,4.5,0.5,0.7103664366769058,4862.718013825424,4.777656939413671,0.7167316651613688,11.727337871742144
7000,4.5,-0.0,0.7312397544176248,4862.706051954327,4.282907876934955,0.706830118651122,11.114907406244189
7000,4.5,-0.5,0.733350753349864,4862.699996900343,3.9123068096852616,0.7145444544487646,9.972004847408925
7000,5.0,0.5,0.7051110130114883,4862.724013579978,4.663667063782989,0.707034552970106,11.66405199139146
7000,5.0,-0.0,0.7272444259023032,4862.705990833854,4.14025698799971,0.6982875537658181,10.941919606418338
7000,5.0,-0.5,0.729366139052594,4862.699967490782,3.7395581130147515,0.7082373457848135,9.642818086316447
