# Wavelength_Angstrom  Normalized_Flux
4.807150011300100232e+03 9.680373668670654297e-01
4.807200011300799815e+03 9.718683362007141113e-01
4.807250011301500308e+03 9.542193412780761719e-01
4.807300011302199891e+03 9.308615922927856445e-01
4.807350011302900384e+03 9.198259711265563965e-01
4.807400011303599968e+03 8.757201433181762695e-01
4.807450011304299551e+03 7.709202170372009277e-01
4.807500011305000044e+03 6.872020959854125977e-01
4.807550011305699627e+03 7.450402975082397461e-01
4.807600011306400120e+03 8.828679919242858887e-01
4.807650011307099703e+03 9.670442342758178711e-01
4.807700011307800196e+03 9.895562529563903809e-01
4.807750011308499779e+03 9.994462728500366211e-01
4.807800011309200272e+03 9.898194670677185059e-01
4.807850011309899855e+03 9.573093652725219727e-01
4.807900011310600348e+03 8.718326687812805176e-01
4.807950011311299932e+03 8.273519873619079590e-01
4.808000011312000424e+03 8.842046260833740234e-01
4.808050011312700008e+03 9.591353535652160645e-01
4.808100011313399591e+03 9.940763115882873535e-01
4.808150011314100084e+03 9.954540133476257324e-01
4.808200011314799667e+03 9.800061583518981934e-01
4.808250011315500160e+03 9.420709013938903809e-01
4.808300011316199743e+03 8.388125300407409668e-01
4.808350011316900236e+03 7.752621173858642578e-01
4.808400011317599819e+03 7.476682662963867188e-01
4.808450011318300312e+03 7.145117521286010742e-01
4.808500011318999896e+03 7.413789033889770508e-01
4.808550011319699479e+03 8.481266498565673828e-01
4.808600011320399972e+03 8.907457590103149414e-01
4.808650011321100465e+03 8.602096438407897949e-01
4.808700011321800048e+03 8.828353285789489746e-01
4.808750011322499631e+03 9.259419441223144531e-01
4.808800011323200124e+03 9.690682291984558105e-01
4.808850011323899707e+03 9.590919017791748047e-01
4.808900011324600200e+03 9.168155789375305176e-01
4.808950011325299783e+03 8.918408751487731934e-01
4.809000011326000276e+03 9.042687416076660156e-01
4.809050011326699860e+03 9.220656752586364746e-01
4.809100011327400352e+03 9.491879343986511230e-01
4.809150011328099936e+03 9.839869141578674316e-01
4.809200011328799519e+03 1.001061320304870605e+00
4.809250011329500012e+03 9.983797669410705566e-01
4.809300011330199595e+03 9.967689514160156250e-01
4.809350011330900088e+03 9.913627505302429199e-01
4.809400011331599671e+03 9.963471293449401855e-01
4.809450011332300164e+03 9.982854127883911133e-01
4.809500011332999748e+03 1.018931865692138672e+00
4.809550011333700240e+03 1.024509549140930176e+00
4.809600011334399824e+03 9.982593059539794922e-01
4.809650011335100317e+03 9.535617232322692871e-01
4.809700011335799900e+03 8.981245160102844238e-01
4.809750011336500393e+03 8.727518320083618164e-01
